0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11052
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11052
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:21 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:54 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11052
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:54 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:54 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:54 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:47:54 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11072
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11072
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:00 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:18 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:18 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:18 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:19 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:19 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:49:19 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:23 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11072
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:23 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:23 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:23 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:23 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:40 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11069
